opportunity_name,account_name,type,lead source,stage,company_name
United Oil Office Portable Generators,United Oil & Gas Corp.,Existing Customer - Upgrade,,Negotiation/Review,
United Oil Installations,United Oil & Gas Corp.,Existing Customer - Upgrade,External Referral,Closed Won,
United Oil Refinery Generators,United Oil & Gas Corp.,New Customer,Partner,Closed Won,
United Oil Standby Generators,United Oil & Gas Corp.,Existing Customer - Upgrade,External Referral,Closed Won,
GenePoint SLA,GenePoint,Existing Customer - Upgrade,Partner,Closed Won,
Edge Emergency Generator,Edge Communications,Existing Customer - Replacement,,Id. Decision Makers,
Grand Hotels Generator Installations,Grand Hotels & Resorts Ltd,Existing Customer - Upgrade,External Referral,Closed Won,
Grand Hotels Guest Portable Generators,Grand Hotels & Resorts Ltd,Existing Customer - Upgrade,Employee Referral,Value Proposition,
United Oil Installations,United Oil & Gas Corp.,Existing Customer - Upgrade,,Negotiation/Review,
United Oil & Gas Corp - ChallengerHub,United Oil & Gas Corp.,,,Proposal/Price Quote,
Kinesis Data 1,American Banking Corp.,New Customer,,Prospecting,
Renewal2018-05-01 00:00:00,UTZ Brands,Existing Customer - Upgrade,,Renewal,
Opp-01-05-2018,UTZ Brands,,,Prospecting,
Pyramid Construction Inc.-05-Jul 2020,Pyramid Construction Inc.,Existing Customer - Upgrade,,Prospecting,
Opp-06-07-2020,Pyramid Construction Inc.,,,Prospecting,
Terminate-UTZ Brands-03-Jul 2020,UTZ Brands,Existing Customer - Downgrade,,Closed Won,
Replace-UTZ Brands-03-Jul 2020,UTZ Brands,Existing Customer - Upgrade,,Prospecting,
08-07-2020,Pyramid Construction Inc.,,,Prospecting,
,,,,,
,,,,,
Opportunity Report,,,,,
"Copyright (c) 2000-2022 salesforce.com, inc. All rights reserved.",,,,,
Confidential Information - Do Not Distribute,,,,,
Generated By:  Aditya Sharma  4/17/2022 11:41 PM,,,,,
VersatileCapitalist Software Inc - 700.0demo.com,,,,,
Grand Hotels Emergency Generators,Grand Hotels & Resorts Ltd,New Customer,External Referral,Closed Won,CrownBio
Express Logistics Portable Truck Generators,Express Logistics and Transport,Existing Customer - Upgrade,External Referral,Value Proposition,CrownBio
University of AZ Portable Generators,University of Arizona,New Customer,Public Relations,Closed Won,CrownBio
Edge SLA,Edge Communications,Existing Customer - Upgrade,Word of mouth,Closed Won,CrownBio
GenePoint Lab Generators,GenePoint,,,Id. Decision Makers,v
Dickenson Mobile Generators,Dickenson plc,New Customer,Purchased List,Qualification,CrownBio
Edge Installation,Edge Communications,Existing Customer - Upgrade,Word of mouth,Closed Won,CrownBio
Grand Hotels SLA,Grand Hotels & Resorts Ltd,Existing Customer - Upgrade,External Referral,Closed Won,CrownBio
University of AZ Installations,University of Arizona,Existing Customer - Upgrade,Employee Referral,Proposal/Price Quote,CrownBio
Grand Hotels Kitchen Generator,Grand Hotels & Resorts Ltd,Existing Customer - Upgrade,,Id. Decision Makers,CrownBio
United Oil Installations,United Oil & Gas Corp.,Existing Customer - Upgrade,Partner,Closed Won,CrownBio
Express Logistics SLA,Express Logistics and Transport,Existing Customer - Upgrade,External Referral,Perception Analysis,CrownBio
Edge Emergency Generator,Edge Communications,New Customer,Word of mouth,Closed Won,v
Pyramid Emergency Generators,Pyramid Construction Inc.,,Phone Inquiry,Prospecting,CrownBio
GenePoint Standby Generator,GenePoint,New Customer,Partner,Closed Won,CrownBio
University of AZ SLA,University of Arizona,Existing Customer - Upgrade,Public Relations,Closed Won,CrownBio
United Oil Plant Standby Generators,United Oil & Gas Corp.,Existing Customer - Upgrade,,Needs Analysis,CrownBio
United Oil SLA,United Oil & Gas Corp.,Existing Customer - Upgrade,Partner,Closed Won,CrownBio
United Oil Refinery Generators,United Oil & Gas Corp.,Existing Customer - Upgrade,,Proposal/Price Quote,CrownBio
United Oil Emergency Generators,United Oil & Gas Corp.,Existing Customer - Upgrade,External Referral,Closed Won,CrownBio
Express Logistics Standby Generator,Express Logistics and Transport,New Customer,Trade Show,Closed Won,CrownBio
Burlington Textiles Weaving Plant Generator,UTZ Brands,New Customer,Web,Closed Won,CrownBio
