"_airbyte_ab_id","_airbyte_emitted_at","_airbyte_data"
"51adda3e-00d4-4e12-96fe-d3d6402858f9",1649766084141,"{""attributes"":{""type"":""Account"",""url"":""/services/data/v52.0/sobjects/Account/001j000000EPSRjAAP""},""Id"":""001j000000EPSRjAAP"",""IsDeleted"":false,""MasterRecordId"":null,""Name"":""United Oil & Gas, UK"",""Type"":""Customer - Direct"",""ParentId"":null,""BillingStreet"":""Kings Park, 17th Avenue, Team Valley Trading Estate,\nGateshead, Tyne and Wear NE26 3HS\nUnited Kingdom"",""BillingCity"":null,""BillingState"":""UK"",""BillingPostalCode"":null,""BillingCountry"":null,""BillingLatitude"":null,""BillingLongitude"":null,""BillingGeocodeAccuracy"":null,""BillingAddress"":{""city"":null,""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""UK"",""street"":""Kings Park, 17th Avenue, Team Valley Trading Estate,\nGateshead, Tyne and Wear NE26 3HS\nUnited Kingdom""},""ShippingStreet"":""Kings Park, 17th Avenue, Team Valley Trading Estate,\nGateshead, Tyne and Wear NE26 3HS\nUnited Kingdom"",""ShippingCity"":null,""ShippingState"":null,""ShippingPostalCode"":null,""ShippingCountry"":null,""ShippingLatitude"":null,""ShippingLongitude"":null,""ShippingGeocodeAccuracy"":null,""ShippingAddress"":{""city"":null,""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":""Kings Park, 17th Avenue, Team Valley Trading Estate,\nGateshead, Tyne and Wear NE26 3HS\nUnited Kingdom""},""Phone"":""+44 191 4956203"",""Fax"":""+44 191 4956620"",""AccountNumber"":""CD355119-A"",""Website"":""http://www.uos.com"",""PhotoUrl"":""/services/images/photo/001j000000EPSRjAAP"",""Sic"":""4437"",""Industry"":""Energy"",""AnnualRevenue"":null,""NumberOfEmployees"":24000,""Ownership"":""Public"",""TickerSymbol"":""UOS"",""Description"":null,""Rating"":null,""Site"":null,""OwnerId"":""005j000000BSzdlAAD"",""CreatedDate"":""2015-01-21T06:56:56.000+0000"",""CreatedById"":""005j000000BSzdlAAD"",""LastModifiedDate"":""2015-01-21T06:56:56.000+0000"",""LastModifiedById"":""005j000000BSzdlAAD"",""SystemModstamp"":""2015-01-21T06:56:56.000+0000"",""LastActivityDate"":null,""LastViewedDate"":null,""LastReferencedDate"":null,""Jigsaw"":null,""JigsawCompanyId"":null,""AccountSource"":null,""DunsNumber"":null,""Tradestyle"":null,""NaicsCode"":null,""NaicsDesc"":null,""YearStarted"":null,""SicDesc"":null,""DandbCompanyId"":null,""ProjectHub__IsInternal__c"":false,""ProjectHub__Discount__c"":null,""ProjectHub__DiscountSchedule__c"":null}"
"40d0da40-2843-4d2f-aded-783c8329a3eb",1649766084143,"{""attributes"":{""type"":""Account"",""url"":""/services/data/v52.0/sobjects/Account/001j000000EPSRnAAP""},""Id"":""001j000000EPSRnAAP"",""IsDeleted"":false,""MasterRecordId"":null,""Name"":""Pyramid Construction Inc."",""Type"":""Customer - Channel"",""ParentId"":null,""BillingStreet"":""2 Place Jussieu"",""BillingCity"":""Paris"",""BillingState"":null,""BillingPostalCode"":""75251"",""BillingCountry"":""France"",""BillingLatitude"":null,""BillingLongitude"":null,""BillingGeocodeAccuracy"":null,""BillingAddress"":{""city"":""Paris"",""country"":""France"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""75251"",""state"":null,""street"":""2 Place Jussieu""},""ShippingStreet"":""2 Place Jussieu"",""ShippingCity"":""Paris"",""ShippingState"":null,""ShippingPostalCode"":""75251"",""ShippingCountry"":""France"",""ShippingLatitude"":null,""ShippingLongitude"":null,""ShippingGeocodeAccuracy"":null,""ShippingAddress"":{""city"":""Paris"",""country"":""France"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""75251"",""state"":null,""street"":""2 Place Jussieu""},""Phone"":""(014) 427-4427"",""Fax"":""(014) 427-4428"",""AccountNumber"":""CC213425"",""Website"":""www.pyramid.com"",""PhotoUrl"":""/services/images/photo/001j000000EPSRnAAP"",""Sic"":""4253"",""Industry"":""Construction"",""AnnualRevenue"":9.5E8,""NumberOfEmployees"":2680,""Ownership"":""Public"",""TickerSymbol"":""PYR"",""Description"":null,""Rating"":null,""Site"":null,""OwnerId"":""005j000000BSzdlAAD"",""CreatedDate"":""2015-01-21T06:56:56.000+0000"",""CreatedById"":""005j000000BSzdlAAD"",""LastModifiedDate"":""2015-01-21T06:56:56.000+0000"",""LastModifiedById"":""005j000000BSzdlAAD"",""SystemModstamp"":""2015-01-21T06:56:56.000+0000"",""LastActivityDate"":null,""LastViewedDate"":null,""LastReferencedDate"":null,""Jigsaw"":null,""JigsawCompanyId"":null,""AccountSource"":null,""DunsNumber"":null,""Tradestyle"":null,""NaicsCode"":null,""NaicsDesc"":null,""YearStarted"":null,""SicDesc"":null,""DandbCompanyId"":null,""ProjectHub__IsInternal__c"":false,""ProjectHub__Discount__c"":null,""ProjectHub__DiscountSchedule__c"":null}"
"948779f2-b9b8-416a-90e2-dd93cb78b430",1649766084144,"{""attributes"":{""type"":""Account"",""url"":""/services/data/v52.0/sobjects/Account/001j000000EPSRkAAP""},""Id"":""001j000000EPSRkAAP"",""IsDeleted"":false,""MasterRecordId"":null,""Name"":""United Oil & Gas, Singapore"",""Type"":""Customer - Direct"",""ParentId"":null,""BillingStreet"":""9 Tagore Lane\nSingapore, Singapore 787472\nSingapore"",""BillingCity"":""Singapore"",""BillingState"":""Singapore"",""BillingPostalCode"":null,""BillingCountry"":null,""BillingLatitude"":null,""BillingLongitude"":null,""BillingGeocodeAccuracy"":null,""BillingAddress"":{""city"":""Singapore"",""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""Singapore"",""street"":""9 Tagore Lane\nSingapore, Singapore 787472\nSingapore""},""ShippingStreet"":""9 Tagore Lane\nSingapore, Singapore 787472\nSingapore"",""ShippingCity"":null,""ShippingState"":null,""ShippingPostalCode"":null,""ShippingCountry"":null,""ShippingLatitude"":null,""ShippingLongitude"":null,""ShippingGeocodeAccuracy"":null,""ShippingAddress"":{""city"":null,""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":""9 Tagore Lane\nSingapore, Singapore 787472\nSingapore""},""Phone"":""(650) 450-8810"",""Fax"":""(650) 450-8820"",""AccountNumber"":""CD355120-B"",""Website"":""http://www.uos.com"",""PhotoUrl"":""/services/images/photo/001j000000EPSRkAAP"",""Sic"":""4437"",""Industry"":""Energy"",""AnnualRevenue"":null,""NumberOfEmployees"":3000,""Ownership"":""Public"",""TickerSymbol"":""UOS"",""Description"":null,""Rating"":null,""Site"":null,""OwnerId"":""005j000000BSzdlAAD"",""CreatedDate"":""2015-01-21T06:56:56.000+0000"",""CreatedById"":""005j000000BSzdlAAD"",""LastModifiedDate"":""2015-01-21T06:56:56.000+0000"",""LastModifiedById"":""005j000000BSzdlAAD"",""SystemModstamp"":""2015-01-21T06:56:56.000+0000"",""LastActivityDate"":null,""LastViewedDate"":null,""LastReferencedDate"":null,""Jigsaw"":null,""JigsawCompanyId"":null,""AccountSource"":null,""DunsNumber"":null,""Tradestyle"":null,""NaicsCode"":null,""NaicsDesc"":null,""YearStarted"":null,""SicDesc"":null,""DandbCompanyId"":null,""ProjectHub__IsInternal__c"":false,""ProjectHub__Discount__c"":null,""ProjectHub__DiscountSchedule__c"":null}"
"0d1393ae-e82a-4d3a-bd21-4e4a95c18f54",1649766084146,"{""attributes"":{""type"":""Account"",""url"":""/services/data/v52.0/sobjects/Account/001j000000EPSRqAAP""},""Id"":""001j000000EPSRqAAP"",""IsDeleted"":false,""MasterRecordId"":null,""Name"":""Express Logistics and Transport"",""Type"":""Customer - Channel"",""ParentId"":null,""BillingStreet"":""620 SW 5th Avenue Suite 400\nPortland, Oregon 97204\nUnited States"",""BillingCity"":""Portland"",""BillingState"":""OR"",""BillingPostalCode"":null,""BillingCountry"":null,""BillingLatitude"":null,""BillingLongitude"":null,""BillingGeocodeAccuracy"":null,""BillingAddress"":{""city"":""Portland"",""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""OR"",""street"":""620 SW 5th Avenue Suite 400\nPortland, Oregon 97204\nUnited States""},""ShippingStreet"":""620 SW 5th Avenue Suite 400\nPortland, Oregon 97204\nUnited States"",""ShippingCity"":null,""ShippingState"":null,""ShippingPostalCode"":null,""ShippingCountry"":null,""ShippingLatitude"":null,""ShippingLongitude"":null,""ShippingGeocodeAccuracy"":null,""ShippingAddress"":{""city"":null,""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":""620 SW 5th Avenue Suite 400\nPortland, Oregon 97204\nUnited States""},""Phone"":""(503) 421-7800"",""Fax"":""(503) 421-7801"",""AccountNumber"":""CC947211"",""Website"":""www.expressl&t.net"",""PhotoUrl"":""/services/images/photo/001j000000EPSRqAAP"",""Sic"":""8742"",""Industry"":""Transportation"",""AnnualRevenue"":9.5E8,""NumberOfEmployees"":12300,""Ownership"":""Public"",""TickerSymbol"":""EXLT"",""Description"":""Commerical logistics and transportation company."",""Rating"":""Cold"",""Site"":null,""OwnerId"":""005j000000BSzdlAAD"",""CreatedDate"":""2015-01-21T06:56:56.000+0000"",""CreatedById"":""005j000000BSzdlAAD"",""LastModifiedDate"":""2015-01-21T06:56:56.000+0000"",""LastModifiedById"":""005j000000BSzdlAAD"",""SystemModstamp"":""2017-05-27T10:56:01.000+0000"",""LastActivityDate"":null,""LastViewedDate"":null,""LastReferencedDate"":null,""Jigsaw"":null,""JigsawCompanyId"":null,""AccountSource"":null,""DunsNumber"":null,""Tradestyle"":null,""NaicsCode"":null,""NaicsDesc"":null,""YearStarted"":null,""SicDesc"":null,""DandbCompanyId"":null,""ProjectHub__IsInternal__c"":false,""ProjectHub__Discount__c"":null,""ProjectHub__DiscountSchedule__c"":null}"
"7df02899-0756-4890-bd10-62acc0a227b7",1649766084147,"{""attributes"":{""type"":""Account"",""url"":""/services/data/v52.0/sobjects/Account/001j000000EPSRoAAP""},""Id"":""001j000000EPSRoAAP"",""IsDeleted"":false,""MasterRecordId"":null,""Name"":""Dickenson plc"",""Type"":""Customer - Channel"",""ParentId"":null,""BillingStreet"":""1301 Hoch Drive"",""BillingCity"":""Lawrence"",""BillingState"":""KS"",""BillingPostalCode"":""66045"",""BillingCountry"":""USA"",""BillingLatitude"":null,""BillingLongitude"":null,""BillingGeocodeAccuracy"":null,""BillingAddress"":{""city"":""Lawrence"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""66045"",""state"":""KS"",""street"":""1301 Hoch Drive""},""ShippingStreet"":""1301 Hoch Drive"",""ShippingCity"":""Lawrence"",""ShippingState"":""KS"",""ShippingPostalCode"":""66045"",""ShippingCountry"":""USA"",""ShippingLatitude"":null,""ShippingLongitude"":null,""ShippingGeocodeAccuracy"":null,""ShippingAddress"":{""city"":""Lawrence"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""66045"",""state"":""KS"",""street"":""1301 Hoch Drive""},""Phone"":""(785) 241-6200"",""Fax"":""(785) 241-6201"",""AccountNumber"":""CC634267"",""Website"":""dickenson-consulting.com"",""PhotoUrl"":""/services/images/photo/001j000000EPSRoAAP"",""Sic"":""6752"",""Industry"":""Consulting"",""AnnualRevenue"":5.0E7,""NumberOfEmployees"":120,""Ownership"":""Private"",""TickerSymbol"":null,""Description"":null,""Rating"":null,""Site"":null,""OwnerId"":""005j000000BSzdlAAD"",""CreatedDate"":""2015-01-21T06:56:56.000+0000"",""CreatedById"":""005j000000BSzdlAAD"",""LastModifiedDate"":""2015-01-21T06:56:56.000+0000"",""LastModifiedById"":""005j000000BSzdlAAD"",""SystemModstamp"":""2017-06-23T00:33:08.000+0000"",""LastActivityDate"":null,""LastViewedDate"":null,""LastReferencedDate"":null,""Jigsaw"":null,""JigsawCompanyId"":null,""AccountSource"":null,""DunsNumber"":null,""Tradestyle"":null,""NaicsCode"":null,""NaicsDesc"":null,""YearStarted"":null,""SicDesc"":null,""DandbCompanyId"":null,""ProjectHub__IsInternal__c"":false,""ProjectHub__Discount__c"":null,""ProjectHub__DiscountSchedule__c"":null}"
"46e88fc6-e57d-4a51-ab4c-164389e1bf1b",1649766084154,"{""attributes"":{""type"":""Account"",""url"":""/services/data/v52.0/sobjects/Account/001j000000EPSRiAAP""},""Id"":""001j000000EPSRiAAP"",""IsDeleted"":false,""MasterRecordId"":null,""Name"":""GenePoint"",""Type"":""Customer - Channel"",""ParentId"":null,""BillingStreet"":""345 Shoreline Park\nMountain View, CA 94043\nUSA"",""BillingCity"":""Mountain View"",""BillingState"":""CA"",""BillingPostalCode"":null,""BillingCountry"":null,""BillingLatitude"":null,""BillingLongitude"":null,""BillingGeocodeAccuracy"":null,""BillingAddress"":{""city"":""Mountain View"",""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""CA"",""street"":""345 Shoreline Park\nMountain View, CA 94043\nUSA""},""ShippingStreet"":""345 Shoreline Park\nMountain View, CA 94043\nUSA"",""ShippingCity"":null,""ShippingState"":null,""ShippingPostalCode"":null,""ShippingCountry"":null,""ShippingLatitude"":null,""ShippingLongitude"":null,""ShippingGeocodeAccuracy"":null,""ShippingAddress"":{""city"":null,""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":""345 Shoreline Park\nMountain View, CA 94043\nUSA""},""Phone"":""(650) 867-3450"",""Fax"":""(650) 867-9895"",""AccountNumber"":""CC978213"",""Website"":""www.genepoint.com"",""PhotoUrl"":""/services/images/photo/001j000000EPSRiAAP"",""Sic"":""3712"",""Industry"":""Biotechnology"",""AnnualRevenue"":3.0E7,""NumberOfEmployees"":265,""Ownership"":""Private"",""TickerSymbol"":null,""Description"":""Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs"",""Rating"":""Cold"",""Site"":null,""OwnerId"":""005j000000BSzdlAAD"",""CreatedDate"":""2015-01-21T06:56:56.000+0000"",""CreatedById"":""005j000000BSzdlAAD"",""LastModifiedDate"":""2015-01-21T06:56:56.000+0000"",""LastModifiedById"":""005j000000BSzdlAAD"",""SystemModstamp"":""2017-06-28T02:01:25.000+0000"",""LastActivityDate"":null,""LastViewedDate"":null,""LastReferencedDate"":null,""Jigsaw"":null,""JigsawCompanyId"":null,""AccountSource"":null,""DunsNumber"":null,""Tradestyle"":null,""NaicsCode"":null,""NaicsDesc"":null,""YearStarted"":null,""SicDesc"":null,""DandbCompanyId"":null,""ProjectHub__IsInternal__c"":false,""ProjectHub__Discount__c"":null,""ProjectHub__DiscountSchedule__c"":null}"
"5ea57b92-370d-4b94-8499-bbe284d57c25",1649766084155,"{""attributes"":{""type"":""Account"",""url"":""/services/data/v52.0/sobjects/Account/001j000000EPSRpAAP""},""Id"":""001j000000EPSRpAAP"",""IsDeleted"":false,""MasterRecordId"":null,""Name"":""Grand Hotels & Resorts Ltd"",""Type"":""Customer - Direct"",""ParentId"":null,""BillingStreet"":""2334 N. Michigan Avenue, Suite 1500\nChicago, IL 60601, USA"",""BillingCity"":""Chicago"",""BillingState"":""IL"",""BillingPostalCode"":null,""BillingCountry"":null,""BillingLatitude"":null,""BillingLongitude"":null,""BillingGeocodeAccuracy"":null,""BillingAddress"":{""city"":""Chicago"",""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""IL"",""street"":""2334 N. Michigan Avenue, Suite 1500\nChicago, IL 60601, USA""},""ShippingStreet"":""2334 N. Michigan Avenue, Suite 1500\nChicago, IL 60601, USA"",""ShippingCity"":null,""ShippingState"":null,""ShippingPostalCode"":null,""ShippingCountry"":null,""ShippingLatitude"":null,""ShippingLongitude"":null,""ShippingGeocodeAccuracy"":null,""ShippingAddress"":{""city"":null,""country"":null,""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":null,""street"":""2334 N. Michigan Avenue, Suite 1500\nChicago, IL 60601, USA""},""Phone"":""(312) 596-1000"",""Fax"":""(312) 596-1500"",""AccountNumber"":""CD439877"",""Website"":""www.grandhotels.com"",""PhotoUrl"":""/services/images/photo/001j000000EPSRpAAP"",""Sic"":""2268"",""Industry"":""Hospitality"",""AnnualRevenue"":5.0E8,""NumberOfEmployees"":5600,""Ownership"":""Public"",""TickerSymbol"":""GHTL"",""Description"":""Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia."",""Rating"":""Warm"",""Site"":null,""OwnerId"":""005j000000BSzdlAAD"",""CreatedDate"":""2015-01-21T06:56:56.000+0000"",""CreatedById"":""005j000000BSzdlAAD"",""LastModifiedDate"":""2015-01-21T06:56:56.000+0000"",""LastModifiedById"":""005j000000BSzdlAAD"",""SystemModstamp"":""2017-06-28T02:01:25.000+0000"",""LastActivityDate"":null,""LastViewedDate"":null,""LastReferencedDate"":null,""Jigsaw"":null,""JigsawCompanyId"":null,""AccountSource"":null,""DunsNumber"":null,""Tradestyle"":null,""NaicsCode"":null,""NaicsDesc"":null,""YearStarted"":null,""SicDesc"":null,""DandbCompanyId"":null,""ProjectHub__IsInternal__c"":false,""ProjectHub__Discount__c"":null,""ProjectHub__DiscountSchedule__c"":null}"
"58939b37-f986-468c-b315-a8d7fbbb6f46",1649766084156,"{""attributes"":{""type"":""Account"",""url"":""/services/data/v52.0/sobjects/Account/0010a00001C5NxbAAF""},""Id"":""0010a00001C5NxbAAF"",""IsDeleted"":false,""MasterRecordId"":null,""Name"":""AstraZeneca R&D Boston"",""Type"":""Customer - Direct"",""ParentId"":null,""BillingStreet"":""Oncology iMed"",""BillingCity"":null,""BillingState"":""Waltham"",""BillingPostalCode"":""MA 02451"",""BillingCountry"":""USA"",""BillingLatitude"":null,""BillingLongitude"":null,""BillingGeocodeAccuracy"":null,""BillingAddress"":{""city"":null,""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""MA 02451"",""state"":""Waltham"",""street"":""Oncology iMed""},""ShippingStreet"":null,""ShippingCity"":null,""ShippingState"":null,""ShippingPostalCode"":null,""ShippingCountry"":null,""ShippingLatitude"":null,""ShippingLongitude"":null,""ShippingGeocodeAccuracy"":null,""ShippingAddress"":null,""Phone"":null,""Fax"":null,""AccountNumber"":null,""Website"":null,""PhotoUrl"":""/services/images/photo/0010a00001C5NxbAAF"",""Sic"":null,""Industry"":null,""AnnualRevenue"":null,""NumberOfEmployees"":null,""Ownership"":null,""TickerSymbol"":null,""Description"":null,""Rating"":null,""Site"":null,""OwnerId"":""0050a00000H7VL0AAN"",""CreatedDate"":""2017-06-08T12:09:53.000+0000"",""CreatedById"":""0050a00000H7VL0AAN"",""LastModifiedDate"":""2017-06-28T05:06:56.000+0000"",""LastModifiedById"":""005j000000Cpea2AAB"",""SystemModstamp"":""2017-06-28T05:06:56.000+0000"",""LastActivityDate"":null,""LastViewedDate"":null,""LastReferencedDate"":null,""Jigsaw"":null,""JigsawCompanyId"":null,""AccountSource"":null,""DunsNumber"":null,""Tradestyle"":null,""NaicsCode"":null,""NaicsDesc"":null,""YearStarted"":null,""SicDesc"":null,""DandbCompanyId"":null,""ProjectHub__IsInternal__c"":false,""ProjectHub__Discount__c"":null,""ProjectHub__DiscountSchedule__c"":null}"
"7dc3413f-03bf-4029-8526-dfe7fbb9cd7a",1649766084157,"{""attributes"":{""type"":""Account"",""url"":""/services/data/v52.0/sobjects/Account/0010a00001C5NyAAAV""},""Id"":""0010a00001C5NyAAAV"",""IsDeleted"":false,""MasterRecordId"":null,""Name"":""aTyr Pharma, Inc."",""Type"":""Customer - Direct"",""ParentId"":null,""BillingStreet"":""3545 John Hopkins Ct. Suite 250"",""BillingCity"":null,""BillingState"":""San Diego"",""BillingPostalCode"":""CA 92121"",""BillingCountry"":""USA"",""BillingLatitude"":null,""BillingLongitude"":null,""BillingGeocodeAccuracy"":null,""BillingAddress"":{""city"":null,""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""CA 92121"",""state"":""San Diego"",""street"":""3545 John Hopkins Ct. Suite 250""},""ShippingStreet"":null,""ShippingCity"":null,""ShippingState"":null,""ShippingPostalCode"":null,""ShippingCountry"":null,""ShippingLatitude"":null,""ShippingLongitude"":null,""ShippingGeocodeAccuracy"":null,""ShippingAddress"":null,""Phone"":null,""Fax"":null,""AccountNumber"":null,""Website"":null,""PhotoUrl"":""/services/images/photo/0010a00001C5NyAAAV"",""Sic"":null,""Industry"":null,""AnnualRevenue"":null,""NumberOfEmployees"":null,""Ownership"":null,""TickerSymbol"":null,""Description"":null,""Rating"":null,""Site"":null,""OwnerId"":""0050a00000H7VL0AAN"",""CreatedDate"":""2017-06-08T12:09:53.000+0000"",""CreatedById"":""0050a00000H7VL0AAN"",""LastModifiedDate"":""2017-06-28T05:07:31.000+0000"",""LastModifiedById"":""005j000000Cpea2AAB"",""SystemModstamp"":""2017-06-28T05:07:31.000+0000"",""LastActivityDate"":null,""LastViewedDate"":null,""LastReferencedDate"":null,""Jigsaw"":null,""JigsawCompanyId"":null,""AccountSource"":null,""DunsNumber"":null,""Tradestyle"":null,""NaicsCode"":null,""NaicsDesc"":null,""YearStarted"":null,""SicDesc"":null,""DandbCompanyId"":null,""ProjectHub__IsInternal__c"":false,""ProjectHub__Discount__c"":null,""ProjectHub__DiscountSchedule__c"":null}"
"c4cab556-7bbe-4034-bc45-5591ea34989c",1649766084170,"{""attributes"":{""type"":""Account"",""url"":""/services/data/v52.0/sobjects/Account/0010a00001C5Ny6AAF""},""Id"":""0010a00001C5Ny6AAF"",""IsDeleted"":false,""MasterRecordId"":null,""Name"":""Bayer AG"",""Type"":""Customer - Direct"",""ParentId"":null,""BillingStreet"":""Rechnungseingangsstelle"",""BillingCity"":null,""BillingState"":""D-51368 Leverkusen"",""BillingPostalCode"":null,""BillingCountry"":""Germany"",""BillingLatitude"":null,""BillingLongitude"":null,""BillingGeocodeAccuracy"":null,""BillingAddress"":{""city"":null,""country"":""Germany"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":null,""state"":""D-51368 Leverkusen"",""street"":""Rechnungseingangsstelle""},""ShippingStreet"":null,""ShippingCity"":null,""ShippingState"":null,""ShippingPostalCode"":null,""ShippingCountry"":null,""ShippingLatitude"":null,""ShippingLongitude"":null,""ShippingGeocodeAccuracy"":null,""ShippingAddress"":null,""Phone"":null,""Fax"":null,""AccountNumber"":null,""Website"":null,""PhotoUrl"":""/services/images/photo/0010a00001C5Ny6AAF"",""Sic"":null,""Industry"":null,""AnnualRevenue"":null,""NumberOfEmployees"":null,""Ownership"":null,""TickerSymbol"":null,""Description"":null,""Rating"":null,""Site"":null,""OwnerId"":""0050a00000H7VL0AAN"",""CreatedDate"":""2017-06-08T12:09:53.000+0000"",""CreatedById"":""0050a00000H7VL0AAN"",""LastModifiedDate"":""2017-06-28T05:07:38.000+0000"",""LastModifiedById"":""005j000000Cpea2AAB"",""SystemModstamp"":""2017-06-28T05:07:38.000+0000"",""LastActivityDate"":null,""LastViewedDate"":null,""LastReferencedDate"":null,""Jigsaw"":null,""JigsawCompanyId"":null,""AccountSource"":null,""DunsNumber"":null,""Tradestyle"":null,""NaicsCode"":null,""NaicsDesc"":null,""YearStarted"":null,""SicDesc"":null,""DandbCompanyId"":null,""ProjectHub__IsInternal__c"":false,""ProjectHub__Discount__c"":null,""ProjectHub__DiscountSchedule__c"":null}"
